County,County Code,Age Group,Population
"Goshen County, WY",56015,30-34 years,735
"Goshen County, WY",56015,35-39 years,751
"Goshen County, WY",56015,40-44 years,708
"Goshen County, WY",56015,45-49 years,715
"Goshen County, WY",56015,50-54 years,713
"Goshen County, WY",56015,55-59 years,811
"Goshen County, WY",56015,60-64 years ,953
"Goshen County, WY",56015,65-69 years,847
"Goshen County, WY",56015,70-74 years,710
"Goshen County, WY",56015,75-79 years,520
"Goshen County, WY",56015,80-84 years,371
"Goshen County, WY",56015,85+ years,372
"Hot Springs County, WY",56017,0-4 years,232
"Hot Springs County, WY",56017,5-9 years,285
"Hot Springs County, WY",56017,10-14 years,313
"Hot Springs County, WY",56017,15-19 years,257
"Hot Springs County, WY",56017,20-24 years,186
"Hot Springs County, WY",56017,25-29 years,191
"Hot Springs County, WY",56017,30-34 years,234
"Hot Springs County, WY",56017,35-39 years,227
"Hot Springs County, WY",56017,40-44 years,237
"Hot Springs County, WY",56017,45-49 years,257
"Hot Springs County, WY",56017,50-54 years,234
"Hot Springs County, WY",56017,55-59 years,329
"Hot Springs County, WY",56017,60-64 years ,374
"Hot Springs County, WY",56017,65-69 years,410
"Hot Springs County, WY",56017,70-74 years,344
"Hot Springs County, WY",56017,75-79 years,210
"Hot Springs County, WY",56017,80-84 years,165
"Hot Springs County, WY",56017,85+ years,137
"Johnson County, WY",56019,0-4 years,395
"Johnson County, WY",56019,5-9 years,486
"Johnson County, WY",56019,10-14 years,604
"Johnson County, WY",56019,15-19 years,481
"Johnson County, WY",56019,20-24 years,331
"Johnson County, WY",56019,25-29 years,355
"Johnson County, WY",56019,30-34 years,417
"Johnson County, WY",56019,35-39 years,512
"Johnson County, WY",56019,40-44 years,473
"Johnson County, WY",56019,45-49 years,478
"Johnson County, WY",56019,50-54 years,476
"Johnson County, WY",56019,55-59 years,574
"Johnson County, WY",56019,60-64 years ,679
"Johnson County, WY",56019,65-69 years,719
"Johnson County, WY",56019,70-74 years,632
"Johnson County, WY",56019,75-79 years,371
"Johnson County, WY",56019,80-84 years,254
"Johnson County, WY",56019,85+ years,222
"Laramie County, WY",56021,0-4 years,6058
"Laramie County, WY",56021,5-9 years,6359
"Laramie County, WY",56021,10-14 years,6931
"Laramie County, WY",56021,15-19 years,6144
"Laramie County, WY",56021,20-24 years,6590
"Laramie County, WY",56021,25-29 years,7188
"Laramie County, WY",56021,30-34 years,7293
"Laramie County, WY",56021,35-39 years,7121
"Laramie County, WY",56021,40-44 years,5921
"Laramie County, WY",56021,45-49 years,5600
"Laramie County, WY",56021,50-54 years,5660
"Laramie County, WY",56021,55-59 years,6632
"Laramie County, WY",56021,60-64 years ,6501
"Laramie County, WY",56021,65-69 years,5623
"Laramie County, WY",56021,70-74 years,4609
"Laramie County, WY",56021,75-79 years,2862
"Laramie County, WY",56021,80-84 years,1759
"Laramie County, WY",56021,85+ years,1839
"Lincoln County, WY",56023,0-4 years,1208
"Lincoln County, WY",56023,5-9 years,1384
"Lincoln County, WY",56023,10-14 years,1624
"Lincoln County, WY",56023,15-19 years,1374
"Lincoln County, WY",56023,20-24 years,859
"Lincoln County, WY",56023,25-29 years,880
"Lincoln County, WY",56023,30-34 years,998
"Lincoln County, WY",56023,35-39 years,1205
"Lincoln County, WY",56023,40-44 years,1368
"Lincoln County, WY",56023,45-49 years,1194
"Lincoln County, WY",56023,50-54 years,1048
"Lincoln County, WY",56023,55-59 years,1304
"Lincoln County, WY",56023,60-64 years ,1542
"Lincoln County, WY",56023,65-69 years,1418
"Lincoln County, WY",56023,70-74 years,1055
"Lincoln County, WY",56023,75-79 years,597
"Lincoln County, WY",56023,80-84 years,345
"Lincoln County, WY",56023,85+ years,271
"Natrona County, WY",56025,0-4 years,4977
"Natrona County, WY",56025,5-9 years,5403
"Natrona County, WY",56025,10-14 years,5773
"Natrona County, WY",56025,15-19 years,5068
"Natrona County, WY",56025,20-24 years,4432
"Natrona County, WY",56025,25-29 years,5427
"Natrona County, WY",56025,30-34 years,5816
"Natrona County, WY",56025,35-39 years,5902
"Natrona County, WY",56025,40-44 years,5277
"Natrona County, WY",56025,45-49 years,4524
"Natrona County, WY",56025,50-54 years,4364
"Natrona County, WY",56025,55-59 years,5055
"Natrona County, WY",56025,60-64 years ,5492
"Natrona County, WY",56025,65-69 years,4665
"Natrona County, WY",56025,70-74 years,3389
"Natrona County, WY",56025,75-79 years,1967
"Natrona County, WY",56025,80-84 years,1313
"Natrona County, WY",56025,85+ years,1385
"Niobrara County, WY",56027,0-4 years,139
"Niobrara County, WY",56027,5-9 years,129
"Niobrara County, WY",56027,10-14 years,110
"Niobrara County, WY",56027,15-19 years,106
"Niobrara County, WY",56027,20-24 years,144
"Niobrara County, WY",56027,25-29 years,145
"Niobrara County, WY",56027,30-34 years,169
"Niobrara County, WY",56027,35-39 years,157
"Niobrara County, WY",56027,40-44 years,142
"Niobrara County, WY",56027,45-49 years,159
"Niobrara County, WY",56027,50-54 years,119
"Niobrara County, WY",56027,55-59 years,145
"Niobrara County, WY",56027,60-64 years ,197
"Niobrara County, WY",56027,65-69 years,190
"Niobrara County, WY",56027,70-74 years,128
"Niobrara County, WY",56027,75-79 years,103
"Niobrara County, WY",56027,80-84 years,92
"Niobrara County, WY",56027,85+ years,65
"Park County, WY",56029,0-4 years,1492
"Park County, WY",56029,5-9 years,1723
"Park County, WY",56029,10-14 years,1831
"Park County, WY",56029,15-19 years,1714
"Park County, WY",56029,20-24 years,1402
"Park County, WY",56029,25-29 years,1504
"Park County, WY",56029,30-34 years,1701
"Park County, WY",56029,35-39 years,1790
"Park County, WY",56029,40-44 years,1645
"Park County, WY",56029,45-49 years,1526
"Park County, WY",56029,50-54 years,1626
"Park County, WY",56029,55-59 years,2035
"Park County, WY",56029,60-64 years ,2429
"Park County, WY",56029,65-69 years,2399
"Park County, WY",56029,70-74 years,1961
"Park County, WY",56029,75-79 years,1347
"Park County, WY",56029,80-84 years,772
"Park County, WY",56029,85+ years,759
