County,County Code,Age Group,Population
"Emery County, UT",49015,15-19 years,786
"Emery County, UT",49015,20-24 years,536
"Emery County, UT",49015,25-29 years,502
"Emery County, UT",49015,30-34 years,494
"Emery County, UT",49015,35-39 years,601
"Emery County, UT",49015,40-44 years,656
"Emery County, UT",49015,45-49 years,539
"Emery County, UT",49015,50-54 years,471
"Emery County, UT",49015,55-59 years,553
"Emery County, UT",49015,60-64 years ,687
"Emery County, UT",49015,65-69 years,614
"Emery County, UT",49015,70-74 years,474
"Emery County, UT",49015,75-79 years,306
"Emery County, UT",49015,80-84 years,213
"Emery County, UT",49015,85+ years,145
"Garfield County, UT",49017,0-4 years,278
"Garfield County, UT",49017,5-9 years,289
"Garfield County, UT",49017,10-14 years,341
"Garfield County, UT",49017,15-19 years,376
"Garfield County, UT",49017,20-24 years,251
"Garfield County, UT",49017,25-29 years,273
"Garfield County, UT",49017,30-34 years,272
"Garfield County, UT",49017,35-39 years,327
"Garfield County, UT",49017,40-44 years,296
"Garfield County, UT",49017,45-49 years,281
"Garfield County, UT",49017,50-54 years,217
"Garfield County, UT",49017,55-59 years,340
"Garfield County, UT",49017,60-64 years ,343
"Garfield County, UT",49017,65-69 years,388
"Garfield County, UT",49017,70-74 years,368
"Garfield County, UT",49017,75-79 years,198
"Garfield County, UT",49017,80-84 years,131
"Garfield County, UT",49017,85+ years,121
"Grand County, UT",49019,0-4 years,537
"Grand County, UT",49019,5-9 years,595
"Grand County, UT",49019,10-14 years,585
"Grand County, UT",49019,15-19 years,542
"Grand County, UT",49019,20-24 years,471
"Grand County, UT",49019,25-29 years,649
"Grand County, UT",49019,30-34 years,629
"Grand County, UT",49019,35-39 years,711
"Grand County, UT",49019,40-44 years,604
"Grand County, UT",49019,45-49 years,587
"Grand County, UT",49019,50-54 years,531
"Grand County, UT",49019,55-59 years,640
"Grand County, UT",49019,60-64 years ,727
"Grand County, UT",49019,65-69 years,683
"Grand County, UT",49019,70-74 years,527
"Grand County, UT",49019,75-79 years,291
"Grand County, UT",49019,80-84 years,179
"Grand County, UT",49019,85+ years,193
"Iron County, UT",49021,0-4 years,4046
"Iron County, UT",49021,5-9 years,4385
"Iron County, UT",49021,10-14 years,4942
"Iron County, UT",49021,15-19 years,5322
"Iron County, UT",49021,20-24 years,6139
"Iron County, UT",49021,25-29 years,4103
"Iron County, UT",49021,30-34 years,3285
"Iron County, UT",49021,35-39 years,3476
"Iron County, UT",49021,40-44 years,3498
"Iron County, UT",49021,45-49 years,2806
"Iron County, UT",49021,50-54 years,2429
"Iron County, UT",49021,55-59 years,2643
"Iron County, UT",49021,60-64 years ,2861
"Iron County, UT",49021,65-69 years,2736
"Iron County, UT",49021,70-74 years,2157
"Iron County, UT",49021,75-79 years,1414
"Iron County, UT",49021,80-84 years,820
"Iron County, UT",49021,85+ years,578
"Juab County, UT",49023,0-4 years,989
"Juab County, UT",49023,5-9 years,1084
"Juab County, UT",49023,10-14 years,1263
"Juab County, UT",49023,15-19 years,1035
"Juab County, UT",49023,20-24 years,774
"Juab County, UT",49023,25-29 years,765
"Juab County, UT",49023,30-34 years,676
"Juab County, UT",49023,35-39 years,792
"Juab County, UT",49023,40-44 years,833
"Juab County, UT",49023,45-49 years,633
"Juab County, UT",49023,50-54 years,533
"Juab County, UT",49023,55-59 years,556
"Juab County, UT",49023,60-64 years ,484
"Juab County, UT",49023,65-69 years,472
"Juab County, UT",49023,70-74 years,408
"Juab County, UT",49023,75-79 years,240
"Juab County, UT",49023,80-84 years,169
"Juab County, UT",49023,85+ years,118
"Kane County, UT",49025,0-4 years,427
"Kane County, UT",49025,5-9 years,468
"Kane County, UT",49025,10-14 years,567
"Kane County, UT",49025,15-19 years,502
"Kane County, UT",49025,20-24 years,345
"Kane County, UT",49025,25-29 years,392
"Kane County, UT",49025,30-34 years,414
"Kane County, UT",49025,35-39 years,470
"Kane County, UT",49025,40-44 years,453
"Kane County, UT",49025,45-49 years,375
"Kane County, UT",49025,50-54 years,396
"Kane County, UT",49025,55-59 years,473
"Kane County, UT",49025,60-64 years ,595
"Kane County, UT",49025,65-69 years,600
"Kane County, UT",49025,70-74 years,522
"Kane County, UT",49025,75-79 years,364
"Kane County, UT",49025,80-84 years,194
"Kane County, UT",49025,85+ years,116
"Millard County, UT",49027,0-4 years,989
"Millard County, UT",49027,5-9 years,1068
"Millard County, UT",49027,10-14 years,1283
"Millard County, UT",49027,15-19 years,1086
"Millard County, UT",49027,20-24 years,719
"Millard County, UT",49027,25-29 years,657
"Millard County, UT",49027,30-34 years,670
"Millard County, UT",49027,35-39 years,830
"Millard County, UT",49027,40-44 years,756
"Millard County, UT",49027,45-49 years,661
"Millard County, UT",49027,50-54 years,583
"Millard County, UT",49027,55-59 years,670
"Millard County, UT",49027,60-64 years ,792
"Millard County, UT",49027,65-69 years,712
"Millard County, UT",49027,70-74 years,593
"Millard County, UT",49027,75-79 years,424
"Millard County, UT",49027,80-84 years,251
"Millard County, UT",49027,85+ years,271
"Morgan County, UT",49029,0-4 years,805
"Morgan County, UT",49029,5-9 years,1190
"Morgan County, UT",49029,10-14 years,1485
"Morgan County, UT",49029,15-19 years,1204
"Morgan County, UT",49029,20-24 years,737
"Morgan County, UT",49029,25-29 years,527
"Morgan County, UT",49029,30-34 years,553
"Morgan County, UT",49029,35-39 years,827
"Morgan County, UT",49029,40-44 years,937
"Morgan County, UT",49029,45-49 years,752
"Morgan County, UT",49029,50-54 years,674
"Morgan County, UT",49029,55-59 years,627
"Morgan County, UT",49029,60-64 years ,588
"Morgan County, UT",49029,65-69 years,510
"Morgan County, UT",49029,70-74 years,398
"Morgan County, UT",49029,75-79 years,289
"Morgan County, UT",49029,80-84 years,176
"Morgan County, UT",49029,85+ years,113
"Piute County, UT",49031,0-4 years,60
"Piute County, UT",49031,5-9 years,72
"Piute County, UT",49031,10-14 years,113
"Piute County, UT",49031,15-19 years,133
"Piute County, UT",49031,20-24 years,72
"Piute County, UT",49031,25-29 years,59
"Piute County, UT",49031,30-34 years,56
"Piute County, UT",49031,35-39 years,64
"Piute County, UT",49031,40-44 years,80
"Piute County, UT",49031,45-49 years,73
"Piute County, UT",49031,50-54 years,60
"Piute County, UT",49031,55-59 years,89
"Piute County, UT",49031,60-64 years ,97
"Piute County, UT",49031,65-69 years,123
"Piute County, UT",49031,70-74 years,114
"Piute County, UT",49031,75-79 years,77
"Piute County, UT",49031,80-84 years,62
"Piute County, UT",49031,85+ years,33
"Rich County, UT",49033,0-4 years,168
"Rich County, UT",49033,5-9 years,212
"Rich County, UT",49033,10-14 years,217
"Rich County, UT",49033,15-19 years,179
"Rich County, UT",49033,20-24 years,126
"Rich County, UT",49033,25-29 years,109
"Rich County, UT",49033,30-34 years,147
"Rich County, UT",49033,35-39 years,164
"Rich County, UT",49033,40-44 years,147
"Rich County, UT",49033,45-49 years,133
"Rich County, UT",49033,50-54 years,108
"Rich County, UT",49033,55-59 years,143
"Rich County, UT",49033,60-64 years ,163
"Rich County, UT",49033,65-69 years,170
"Rich County, UT",49033,70-74 years,127
"Rich County, UT",49033,75-79 years,92
"Rich County, UT",49033,80-84 years,46
"Rich County, UT",49033,85+ years,53
"Salt Lake County, UT",49035,0-4 years,81350
"Salt Lake County, UT",49035,5-9 years,85986
"Salt Lake County, UT",49035,10-14 years,92724
"Salt Lake County, UT",49035,15-19 years,84926
"Salt Lake County, UT",49035,20-24 years,81796
"Salt Lake County, UT",49035,25-29 years,98922
"Salt Lake County, UT",49035,30-34 years,94813
"Salt Lake County, UT",49035,35-39 years,91398
"Salt Lake County, UT",49035,40-44 years,85920
"Salt Lake County, UT",49035,45-49 years,72276
"Salt Lake County, UT",49035,50-54 years,63666
"Salt Lake County, UT",49035,55-59 years,61199
"Salt Lake County, UT",49035,60-64 years ,57750
"Salt Lake County, UT",49035,65-69 years,48378
"Salt Lake County, UT",49035,70-74 years,35689
"Salt Lake County, UT",49035,75-79 years,22734
"Salt Lake County, UT",49035,80-84 years,14092
"Salt Lake County, UT",49035,85+ years,12617
"San Juan County, UT",49037,0-4 years,972
"San Juan County, UT",49037,5-9 years,1165
"San Juan County, UT",49037,10-14 years,1317
"San Juan County, UT",49037,15-19 years,1274
"San Juan County, UT",49037,20-24 years,930
"San Juan County, UT",49037,25-29 years,874
"San Juan County, UT",49037,30-34 years,878
"San Juan County, UT",49037,35-39 years,787
"San Juan County, UT",49037,40-44 years,823
"San Juan County, UT",49037,45-49 years,858
"San Juan County, UT",49037,50-54 years,728
"San Juan County, UT",49037,55-59 years,927
"San Juan County, UT",49037,60-64 years ,880
"San Juan County, UT",49037,65-69 years,718
"San Juan County, UT",49037,70-74 years,550
"San Juan County, UT",49037,75-79 years,366
"San Juan County, UT",49037,80-84 years,249
"San Juan County, UT",49037,85+ years,229
"Sanpete County, UT",49039,0-4 years,1716
"Sanpete County, UT",49039,5-9 years,1810
"Sanpete County, UT",49039,10-14 years,2097
"Sanpete County, UT",49039,15-19 years,2917
"Sanpete County, UT",49039,20-24 years,2601
"Sanpete County, UT",49039,25-29 years,1836
"Sanpete County, UT",49039,30-34 years,1694
"Sanpete County, UT",49039,35-39 years,1838
"Sanpete County, UT",49039,40-44 years,1876
"Sanpete County, UT",49039,45-49 years,1668
"Sanpete County, UT",49039,50-54 years,1396
"Sanpete County, UT",49039,55-59 years,1447
"Sanpete County, UT",49039,60-64 years ,1483
"Sanpete County, UT",49039,65-69 years,1448
"Sanpete County, UT",49039,70-74 years,1105
"Sanpete County, UT",49039,75-79 years,746
"Sanpete County, UT",49039,80-84 years,488
"Sanpete County, UT",49039,85+ years,342
"Sevier County, UT",49041,0-4 years,1497
"Sevier County, UT",49041,5-9 years,1636
"Sevier County, UT",49041,10-14 years,1891
"Sevier County, UT",49041,15-19 years,1749
"Sevier County, UT",49041,20-24 years,1212
"Sevier County, UT",49041,25-29 years,1177
"Sevier County, UT",49041,30-34 years,1200
"Sevier County, UT",49041,35-39 years,1421
"Sevier County, UT",49041,40-44 years,1520
"Sevier County, UT",49041,45-49 years,1180
"Sevier County, UT",49041,50-54 years,973
"Sevier County, UT",49041,55-59 years,1230
"Sevier County, UT",49041,60-64 years ,1255
"Sevier County, UT",49041,65-69 years,1219
"Sevier County, UT",49041,70-74 years,956
"Sevier County, UT",49041,75-79 years,649
"Sevier County, UT",49041,80-84 years,449
"Sevier County, UT",49041,85+ years,332
"Summit County, UT",49043,0-4 years,2082
"Summit County, UT",49043,5-9 years,2616
"Summit County, UT",49043,10-14 years,3243
"Summit County, UT",49043,15-19 years,3109
"Summit County, UT",49043,20-24 years,2358
"Summit County, UT",49043,25-29 years,2372
"Summit County, UT",49043,30-34 years,2420
"Summit County, UT",49043,35-39 years,2617
"Summit County, UT",49043,40-44 years,2929
"Summit County, UT",49043,45-49 years,3047
"Summit County, UT",49043,50-54 years,3217
"Summit County, UT",49043,55-59 years,3272
"Summit County, UT",49043,60-64 years ,3219
"Summit County, UT",49043,65-69 years,2447
"Summit County, UT",49043,70-74 years,1660
"Summit County, UT",49043,75-79 years,1034
"Summit County, UT",49043,80-84 years,456
"Summit County, UT",49043,85+ years,354
"Tooele County, UT",49045,0-4 years,5498
"Tooele County, UT",49045,5-9 years,6579
"Tooele County, UT",49045,10-14 years,7264
"Tooele County, UT",49045,15-19 years,6100
"Tooele County, UT",49045,20-24 years,4468
"Tooele County, UT",49045,25-29 years,4747
"Tooele County, UT",49045,30-34 years,5165
"Tooele County, UT",49045,35-39 years,5714
"Tooele County, UT",49045,40-44 years,5679
"Tooele County, UT",49045,45-49 years,4754
"Tooele County, UT",49045,50-54 years,3765
"Tooele County, UT",49045,55-59 years,3633
"Tooele County, UT",49045,60-64 years ,3190
"Tooele County, UT",49045,65-69 years,2492
"Tooele County, UT",49045,70-74 years,1903
"Tooele County, UT",49045,75-79 years,1097
"Tooele County, UT",49045,80-84 years,693
"Tooele County, UT",49045,85+ years,540
"Uintah County, UT",49047,0-4 years,2783
"Uintah County, UT",49047,5-9 years,3208
"Uintah County, UT",49047,10-14 years,3567
"Uintah County, UT",49047,15-19 years,2898
"Uintah County, UT",49047,20-24 years,1997
"Uintah County, UT",49047,25-29 years,2289
"Uintah County, UT",49047,30-34 years,2421
"Uintah County, UT",49047,35-39 years,2751
"Uintah County, UT",49047,40-44 years,2541
"Uintah County, UT",49047,45-49 years,1936
"Uintah County, UT",49047,50-54 years,1593
"Uintah County, UT",49047,55-59 years,1731
"Uintah County, UT",49047,60-64 years ,1793
"Uintah County, UT",49047,65-69 years,1496
"Uintah County, UT",49047,70-74 years,1122
"Uintah County, UT",49047,75-79 years,670
"Uintah County, UT",49047,80-84 years,435
"Uintah County, UT",49047,85+ years,387
"Utah County, UT",49049,0-4 years,58739
"Utah County, UT",49049,5-9 years,59591
"Utah County, UT",49049,10-14 years,62796
"Utah County, UT",49049,15-19 years,63745
"Utah County, UT",49049,20-24 years,81816
"Utah County, UT",49049,25-29 years,55616
"Utah County, UT",49049,30-34 years,40794
"Utah County, UT",49049,35-39 years,42628
"Utah County, UT",49049,40-44 years,41982
"Utah County, UT",49049,45-49 years,32558
"Utah County, UT",49049,50-54 years,26334
"Utah County, UT",49049,55-59 years,23414
"Utah County, UT",49049,60-64 years ,21456
"Utah County, UT",49049,65-69 years,17510
"Utah County, UT",49049,70-74 years,13789
"Utah County, UT",49049,75-79 years,9467
"Utah County, UT",49049,80-84 years,5864
"Utah County, UT",49049,85+ years,5044
"Wasatch County, UT",49051,0-4 years,2391
"Wasatch County, UT",49051,5-9 years,2856
"Wasatch County, UT",49051,10-14 years,3413
"Wasatch County, UT",49051,15-19 years,2909
"Wasatch County, UT",49051,20-24 years,2089
"Wasatch County, UT",49051,25-29 years,1814
"Wasatch County, UT",49051,30-34 years,1925
"Wasatch County, UT",49051,35-39 years,2442
"Wasatch County, UT",49051,40-44 years,2643
"Wasatch County, UT",49051,45-49 years,2194
"Wasatch County, UT",49051,50-54 years,1990
"Wasatch County, UT",49051,55-59 years,1924
"Wasatch County, UT",49051,60-64 years ,2115
"Wasatch County, UT",49051,65-69 years,1681
"Wasatch County, UT",49051,70-74 years,1218
"Wasatch County, UT",49051,75-79 years,793
"Wasatch County, UT",49051,80-84 years,378
"Wasatch County, UT",49051,85+ years,257
"Washington County, UT",49053,0-4 years,11230
"Washington County, UT",49053,5-9 years,12352
"Washington County, UT",49053,10-14 years,14108
"Washington County, UT",49053,15-19 years,13149
"Washington County, UT",49053,20-24 years,11230
"Washington County, UT",49053,25-29 years,10533
"Washington County, UT",49053,30-34 years,9886
"Washington County, UT",49053,35-39 years,11189
"Washington County, UT",49053,40-44 years,10779
"Washington County, UT",49053,45-49 years,9131
"Washington County, UT",49053,50-54 years,8494
"Washington County, UT",49053,55-59 years,9010
"Washington County, UT",49053,60-64 years ,10595
"Washington County, UT",49053,65-69 years,11771
"Washington County, UT",49053,70-74 years,11004
"Washington County, UT",49053,75-79 years,8098
"Washington County, UT",49053,80-84 years,5144
"Washington County, UT",49053,85+ years,4221
"Wayne County, UT",49055,0-4 years,148
"Wayne County, UT",49055,5-9 years,152
"Wayne County, UT",49055,10-14 years,164
"Wayne County, UT",49055,15-19 years,174
"Wayne County, UT",49055,20-24 years,141
"Wayne County, UT",49055,25-29 years,119
"Wayne County, UT",49055,30-34 years,110
"Wayne County, UT",49055,35-39 years,156
"Wayne County, UT",49055,40-44 years,133
"Wayne County, UT",49055,45-49 years,135
"Wayne County, UT",49055,50-54 years,127
"Wayne County, UT",49055,55-59 years,177
"Wayne County, UT",49055,60-64 years ,198
"Wayne County, UT",49055,65-69 years,201
"Wayne County, UT",49055,70-74 years,161
"Wayne County, UT",49055,75-79 years,100
"Wayne County, UT",49055,80-84 years,61
"Wayne County, UT",49055,85+ years,40
"Weber County, UT",49057,0-4 years,18807
"Weber County, UT",49057,5-9 years,20030
"Weber County, UT",49057,10-14 years,21496
"Weber County, UT",49057,15-19 years,19200
"Weber County, UT",49057,20-24 years,18505
"Weber County, UT",49057,25-29 years,20375
"Weber County, UT",49057,30-34 years,19174
"Weber County, UT",49057,35-39 years,19080
"Weber County, UT",49057,40-44 years,18238
"Weber County, UT",49057,45-49 years,15202
"Weber County, UT",49057,50-54 years,13562
"Weber County, UT",49057,55-59 years,14365
"Weber County, UT",49057,60-64 years ,13478
"Weber County, UT",49057,65-69 years,10961
"Weber County, UT",49057,70-74 years,8493
"Weber County, UT",49057,75-79 years,5418
"Weber County, UT",49057,80-84 years,3359
"Weber County, UT",49057,85+ years,3085
